Recuperar o Sasuke;Resgatar Sasuke e trazê-lo de volta.;S
Proteger o Construtor de Pontes;Escolta e proteção do construtor Tazuna.;C
Exame Chunin;Participar e sobreviver no Exame Chunin.;B
Capturar Gato Fugitivo;Encontrar e capturar um gato de estimação.;D
Infiltrar na Akatsuki;Espionar a Akatsuki para obter informações.;A
Salvar o Kazekage;Resgatar o Kazekage Gaara da Akatsuki.;S
Encontrar o Besouro Bikochu;Procurar o raro inseto rastreador Bikochu.;D
Destruir a Ponte Kannabi;Destruir a Ponte Kannabi em missão de guerra.;A
Coletar Ervas Medicinais;Buscar ervas medicinais na Floresta da Morte.;C
Investigar Orochimaru;Coletar informações sobre Orochimaru.;A
Proteger o Senhor Feudal;Garantir a segurança do Senhor Feudal.;B
Resgate na base da Akatsuki;Resgatar um aliado da base da Akatsuki.;S
Ajudar na Colheita;Ajudar agricultores locais na colheita.;D
Captura de um Ladrão de Lojas;Prender um ladrão de lojas local.;C
Patrulha de Fronteira;Patrulhar as fronteiras do País do Fogo.;B